,Title,Views,Date_time,Video_link,Thumbnail_link
0,TREE DATA STRUCTURES | What is Tree? | DSA Course | GeeksforGeeks,333 views,5 hours ago,/watch?v=AylOfzYJ2qE,https://i.ytimg.com/vi/AylOfzYJ2qE/hqdefault.jpg
1,Three 90 Challenge Extended | 100+ Refunds Processed! | GeeksforGeeks,6.7K views,1 day ago,/watch?v=FVCERWiQSDY,https://i.ytimg.com/vi/FVCERWiQSDY/hqdefault.jpg
2,TYPESCRIPT vs JAVASCRIPT | Which one to Choose? | GeeksforGeeks,494 views,2 days ago,/watch?v=BFf8n2RrKtM,https://i.ytimg.com/vi/BFf8n2RrKtM/hqdefault.jpg
3,Python's Map Function Explained with Examples | Python Tutorial |  GeeksforGeeks,782 views,4 days ago,/watch?v=L66_EOxzLKI,https://i.ytimg.com/vi/L66_EOxzLKI/hqdefault.jpg
4,Build your own AI image Generation App using Mern  | MERN Stack Project | GeeksforGeeks,1.5K views,6 days ago,/watch?v=stcihX2eavw,https://i.ytimg.com/vi/stcihX2eavw/hqdefault.jpg
5,Strategies To Find A Job FAST! | Job Hunt Tips | How People Get Good Jobs | GeeksforGeeks,712 views,7 days ago,/watch?v=rFXVb2-Rj5k,https://i.ytimg.com/vi/rFXVb2-Rj5k/hqdefault.jpg
6,Make your Resume Strong with these DSA Projects | Best DSA Projects for your Resume | GeeksforGeeks,2K views,8 days ago,/watch?v=NjUteXHoOXk,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
7,Top TECH TRENDS & CAREERS in 2024!!! GeeksforGeeks,764 views,13 days ago,/watch?v=FAluaVzy4VM,https://i.ytimg.com/vi/FAluaVzy4VM/hqdefault.jpg
8,GeeksforGeeks Bloopers!! The Making of Quality Content,605 views,2 weeks ago,/watch?v=zakV-wfdPYM,https://i.ytimg.com/vi/zakV-wfdPYM/hqdefault.jpg
9,APTITUDE & REASONING | GATE 2024 Ultimate Revision | PYQ and Sample Questions GATE,1.5K views,2 weeks ago,/watch?v=CaAjf_RE9ew,https://i.ytimg.com/vi/CaAjf_RE9ew/hqdefault.jpg
10,Meet The Youngest CTO Of India! | GeeksforGeeks,3.4K views,2 weeks ago,/watch?v=5YlR3yZV9bE,https://i.ytimg.com/vi/5YlR3yZV9bE/hqdefault.jpg
11,Top 3 Things College Students FEAR!!,71K views,3 weeks ago,/watch?v=mOkFtGLA9q8,https://i.ytimg.com/vi/mOkFtGLA9q8/hqdefault.jpg
12,DATA SCIENCE PROJECTS Made Easy with COLAB AI | Generative AI | GeeksforGeeks,901 views,3 weeks ago,/watch?v=Gt5ZkoFrgyE,https://i.ytimg.com/vi/Gt5ZkoFrgyE/hqdefault.jpg
13,Top VS Code Extensions for Web Developer in 2024!! GeeksforGeeks,996 views,4 weeks ago,/watch?v=l-LJucxS8Mc,https://i.ytimg.com/vi/l-LJucxS8Mc/hqdefault.jpg
14,LINKED LIST PRACTICE QUESTIONS | Operations on Linked List | DSA Problems | GeeksforGeeks,1.1K views,1 month ago,/watch?v=TnV34Lfdk7k,https://i.ytimg.com/vi/TnV34Lfdk7k/hqdefault.jpg
15,Three 90 Challenge - Q&A with Sandeep Jain Sir | GeeksforGeeks #commitwithgfg,3.3K views,1 month ago,/watch?v=KyUbJ4aoIgQ,https://i.ytimg.com/vi/KyUbJ4aoIgQ/hqdefault.jpg
16,"Secrets to CONSISTENCY, COMMITMENT, and CAREER SUCCESS! #commitwithgfg",2K views,1 month ago,/watch?v=6jhkJoOnMCc,https://i.ytimg.com/vi/6jhkJoOnMCc/hqdefault.jpg
17,2024 Will be the YEAR for CODERS!! #commitwithgfg,1.3K views,1 month ago,/watch?v=Nozck3wIMCo,https://i.ytimg.com/vi/Nozck3wIMCo/hqdefault.jpg
18,WHAT IS LINKED LIST? | Linked List Data Structures | DSA Course | GeeksforGeeks,1.3K views,1 month ago,/watch?v=MCG7S2fGUeU,https://i.ytimg.com/vi/MCG7S2fGUeU/hqdefault.jpg
